id,left,top,right,bottom,X,Y,SHETRAN_ID,LC_0,LC_1,LC_2,LC_3,LC_4,LC_5,LC_6,LC_7,LC_9,LC_10,LC_11,LC_12,LC_14,LC_20,LC_21
105,385775.000099999830127,537775.000099999830127,390775.000099999830127,532775.000099999830127,388275.000099999830127,535275.000099999713711,"-9999","40000","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
106,390775.000099999830127,607775.000099999830127,395775.000099999830127,602775.000099999830127,393275.000099999830127,605275.000099999713711,"-9999","6","6399","4398","559","20272","0","0","3144","4679","120","59","0","0","0","364"
107,390775.000099999830127,602775.000099999830127,395775.000099999830127,597775.000099999830127,393275.000099999830127,600275.000099999713711,"0","0","4657","4303","0","6865","0","0","13671","4160","5970","261","0","0","0","113"
108,390775.000099999830127,597775.000099999830127,395775.000099999830127,592775.000099999830127,393275.000099999830127,595275.000099999713711,"0","0","2366","969","0","18577","0","0","13408","1112","3283","0","0","0","0","285"
109,390775.000099999830127,592775.000099999830127,395775.000099999830127,587775.000099999830127,393275.000099999830127,590275.000099999713711,"0","0","754","10863","0","7051","0","0","14698","289","5316","0","967","12","0","50"
110,390775.000099999830127,587775.000099999830127,395775.000099999830127,582775.000099999830127,393275.000099999830127,585275.000099999713711,"0","0","707","8905","0","8789","0","0","15724","4666","1098","0","16","62","0","33"
111,390775.000099999830127,582775.000099999830127,395775.000099999830127,577775.000099999830127,393275.000099999830127,580275.000099999713711,"0","0","551","5930","0","18699","0","0","10735","543","1277","0","0","2172","0","93"
112,390775.000099999830127,577775.000099999830127,395775.000099999830127,572775.000099999830127,393275.000099999830127,575275.000099999713711,"0","0","3866","199","7178","24854","0","0","1783","0","0","0","0","333","1138","649"
113,390775.000099999830127,572775.000099999830127,395775.000099999830127,567775.000099999830127,393275.000099999830127,570275.000099999713711,"0","0","3720","50","10512","23539","0","0","337","0","0","0","0","647","0","1195"
114,390775.000099999830127,567775.000099999830127,395775.000099999830127,562775.000099999830127,393275.000099999830127,565275.000099999713711,"0","0","7785","328","5013","17773","0","0","38","0","0","0","0","842","942","7279"
115,390775.000099999830127,562775.000099999830127,395775.000099999830127,557775.000099999830127,393275.000099999830127,560275.000099999713711,"0","0","8261","53","2901","27610","0","0","103","0","0","0","53","33","8","978"
